食物名称,能量,蛋白质,脂肪,碳水化合物
纯牛奶（低脂，意大利皮尔蒙特低脂牛奶）,45,3.4,1.4,4.6
纯牛奶(脱脂，帕玛拉特),33,2.9,0.2,4.8
纯牛奶(代表值，脱脂),34,3.5,0.3,4.6
纯牛奶（脱脂，澳大利亚澳田脱脂牛奶）,35,3.7,0.3,4.3
纯牛奶（脱脂，丹麦爱氏晨曦脱脂纯牛奶）,39,3.5,0.3,5.5
纯牛奶（脱脂，德国甘蒂牧场脱脂牛奶）,34,3.3,0.5,4
纯牛奶（脱脂，新西兰安佳轻欣脱脂牛奶）,32,3.9,0,4.2
调制乳(全脂，强化VA，VD),51,2.7,2,5.6
调制乳(全脂，草莓味，卡夫牌),79,2.7,3,10.3
调制乳(全脂，巧克力味，卡夫牌),80,2.8,3.2,10
调制乳(全脂，巧克力味，三元牌),74,2.3,2.8,9.9
调制乳（全脂，学生奶）,66,2.6,2.6,8.1
调制乳（全脂，龙丹益醇核桃牛奶）,62,2.5,2.8,6.6
调制乳（全脂，蒙牛特仑苏醇纤牛奶）,72,3.4,4,5.5
调制乳（全脂，蒙牛珍养型零乳糖牛奶）,60,3,3.5,4
调制乳（全脂，完达山臻醇牛奶）,69,3.4,3.7,5.4
调制乳（全脂，旺仔复原乳牛奶）,74,2.5,2.6,10.1
调制乳（全脂，夏进炼乳牛奶）,71,2.5,3.1,8.2
调制乳（全脂，新西兰安佳原味进口儿童牛奶）,70,3.6,3.5,5.9
调制乳（全脂，新希望特浓牛奶）,66,3.3,3.5,5.4
调制乳（全脂，伊利舒化奶）,68,3.5,3.8,5
调制乳（全脂，伊利早餐奶麦香味）,71,2.9,3.2,7.6
调制乳(低脂，强化锌、钙，帕玛拉特),60,3,3.1,5
调制乳（低脂，澳大利亚德运高钙低脂奶）,52,3.5,1.1,7.1
调制乳（低脂，伊利低脂型舒化奶）,46,3.4,1.5,4.6
调制乳（低脂，伊利高钙低脂奶）,47,3.2,1.3,5.5
调制乳（脱脂，部分复原乳，澳大利亚德运高钙脱脂奶）,42,3.6,0.3,6.2
调制乳（脱脂，伊利脱脂奶）,34,3.3,0.3,4.5
鲜牛奶（全脂，光明鲜牛奶）,63,3.4,3.5,4.5
鲜牛奶（代表值，全脂）,67,3.4,3.7,5.1
鲜牛奶（全脂，辉山鲜博士鲜牛奶）,70,3.6,4.3,4.1
鲜牛奶（全脂，完达山鲜牛乳）,66,3.6,3.7,4.6
鲜牛奶（全脂，西域春牌全脂巴氏杀菌乳）,63,2.5,3.1,6.3
鲜牛奶（全脂，现代牧场鲜牛奶）,64,3.4,3.6,4.5
鲜牛奶（全脂，新希望千岛湖牧场鲜牛奶）,76,3.6,3.9,6.7
鲜牛奶（全脂，一鸣鲜牛奶）,66,3.5,3.6,5
羊乳,59,1.5,3.5,5.4
人乳,65,1.3,3.4,7.4
人乳（初乳，1~7天）,68,2.2,3.8,6.2
人乳（过渡乳，7~14天）,73,2.2,4,7
人乳（成熟乳）,70,1.2,4.4,6.5
鲜驴奶,33,0.4,0.6,6.5
鲜驴奶（冻）,41,0.5,1.2,7
鲜驴奶（花麒牌，冻）,39,0.8,1.1,6.5
鲜驼奶,72,3.7,3.5,6.5
鲜驼奶（冻）,85,3.6,3.5,9.9
驼奶（旺源牌，易拉罐）,81,3.9,4.6,6
全脂奶粉(多维奶粉),484,19.9,22.7,49.9
全脂奶粉（代表值）,482,19.9,22.3,50.5
全脂奶粉,478,20.1,21.2,51.7
全脂奶粉（速溶）,466,19.9,18.9,54
全脂奶粉(雀巢),504,24,28,39
全脂奶粉(伊利牌),504,22,26,45.5
全脂奶粉(红星速溶加锌奶粉),478,18.5,20.8,54.1
全脂奶粉(欧世蒙牛多维高钙高铁奶粉),473,18.2,21.7,51.1
全脂奶粉(雪花钙加锌调制奶粉),461,17,19,55.5
全脂奶粉(雪花高钙多维调制奶粉),484,19.5,22,52
全脂甜奶粉（代表值）,485,20.2,22.9,49.6
全脂甜奶粉,490,22.5,23.4,47.4
全脂甜奶粉(伊利牌),476,19,21,52.8
全脂甜奶粉(飞鹤全脂甜乳粉),479,20,23,48
全脂甜奶粉(红星速溶全脂甜奶粉),481,18.5,23,50
全脂甜奶粉(三元燕山牌全脂甜奶粉),500,21,24,50
低脂奶粉（代表值，高钙高铁）,425,23.7,11.9,55.9
低脂奶粉(高钙高铁，雀巢),413,27,11.7,50
低脂奶粉(高钙高铁，伊利牌),423,27,11,53.9
低脂奶粉(高钙高铁，可淇牌),437,17,13,63
全脂奶粉(全脂羊乳粉),498,18.8,25.2,49
驴奶粉（花麒牌，西域龙驴奶粉）,442,20.1,12.4,62.4
驴奶粉（金驴龙奶）,416,14.8,8.2,70.8
驴奶粉（源西域牌，冻干特质）,428,19.3,12.3,60
驼奶粉（花麒牌，西域龙驼奶粉）,528,20.2,30.4,43.4
驼奶粉（天山牧歌牌）,513,16.7,28.6,47.1
驼奶粉（旺源牌，全脂驼乳粉）,545,21.3,34.6,37
儿童配方奶粉(代表值),454,19,17.3,56.1
儿童配方奶粉(安儿健A+，美赞臣),428,17.9,11.1,64
儿童配方奶粉(适体健，美赞臣),417,16,9,68
儿童配方奶粉(惠氏),451,17,15,62
儿童配方奶粉(可淇牌),457,17,17,59
儿童配方奶粉(完达山牌),458,17,18,57
儿童配方奶粉(贝因美特选幼童配方奶粉4阶段),473,18,19.5,56.6
儿童配方奶粉(多美滋优阶儿童配方奶粉),406,19.6,10,59.4
儿童配方奶粉(惠氏金装学儿乐学龄前儿童配方奶粉),442,17,16,58.9
儿童配方奶粉(美素佳儿GOLD金装儿童配方奶粉),452,25.8,17,49
儿童配方奶粉(美赞臣安儿健儿童配方奶粉),434,20,12,63
儿童配方奶粉(明治珍爱童儿童配方奶粉),465,20,19,53.7
儿童配方奶粉(欧世蒙牛金装佳智学龄前儿童特殊配方奶粉4阶段),470,17.9,20.9,52.5
儿童配方奶粉(雀巢能恩全进口奶源儿童配方奶粉4),455,22,19,49
儿童配方奶粉(三元爱益儿童成长配方奶粉),500,20,20,60
儿童配方奶粉(完达山4段儿童奶粉),462,17.1,19.2,55.7
儿童配方奶粉(完达山金装元乳4段儿童奶粉),466,17.5,19.8,54.8
儿童配方奶粉(雪花学生特殊配方奶粉),461,17.5,19,55
儿童配方奶粉(雪花学生营养奶粉),463,17.8,19.5,54
儿童配方奶粉(雅培金装喜康宝儿童配方奶粉),444,17.5,15.9,58.1
儿童配方奶粉(雅士利儿童奶粉),460,21.6,18,53
儿童配方奶粉(伊利儿童配方奶粉),465,21,20,50.6
儿童配方奶粉(伊利金领冠儿童配方奶粉),467,21.5,20,50.6
儿童配方奶粉(伊利金装儿童配方奶粉),467,21.5,20,50.6
儿童配方奶粉(伊利学生营养奶粉),464,18,20,53
孕产妇配方奶粉(代表值),413,22,9.8,60.5
孕产妇配方奶粉(惠氏),405,16,6.8,70
孕产妇配方奶粉(美赞臣),380,23.3,3.9,62.4
孕产妇配方奶粉(贝因美冠军宝贝孕妈咪配方奶粉),425,22.5,12,59
孕产妇配方奶粉(贝因美金装爱+孕妈咪配方奶粉),434,22.5,12,59
孕产妇配方奶粉(贝因美金装爱＋准妈咪配方奶粉),426,22.5,10,61.5
孕产妇配方奶粉(多美滋优阶妈妈孕产妇配方奶粉),360,20.5,2.5,67.4
孕产妇配方奶粉(飞帆孕产妇配方乳粉),460,18,17.5,57.7
孕产妇配方奶粉(合生元金装妈妈配方奶粉),380,27,2.8,62.7
孕产妇配方奶粉(亨氏超金妈妈孕产妇配方奶粉),398,26,8,57
孕产妇配方奶粉(惠氏爱儿乐妈妈孕产妇配方奶粉),406,19,6.9,67
孕产妇配方奶粉(美素佳儿GOLD金装妈妈孕产妇配方奶粉),454,27,17.5,47.1
孕产妇配方奶粉(美赞臣安婴妈妈孕产妇配方奶粉),383,24,4.3,62
孕产妇配方奶粉(雀巢妈妈孕产妇奶粉),407,20,6.5,67
孕产妇配方奶粉(雀巢妈妈孕产妇营养配方奶粉),402,20,6,67
孕产妇配方奶粉(三元爱力优妈妈配方奶粉),438,22.5,13.8,56.3
孕产妇配方奶粉(圣元优博妈咪孕产妇配方奶粉),440,22,16,52
孕产妇配方奶粉(完达山妈咪配方奶粉),455,22.5,17.5,52.4
孕产妇配方奶粉(雅培妈妈喜康素金装孕产妇配方奶粉),367,23.1,2,66
孕产妇配方奶粉(雅士利能慧金装孕产妇奶粉),425,20.6,12.5,59
孕产妇配方奶粉(伊利金领冠妈妈配方奶粉),456,22,14,60.9
孕产妇配方奶粉(伊利孕妇奶粉),441,22,14,56.7
孕产妇配方羊奶粉(美可高特孕产妇配方羊奶粉),447,22,15.5,54.9
中老年配方奶粉(代表值),424,21.8,12.8,55.7
中老年配方奶粉(可淇牌),432,18,12,63
中老年配方奶粉(雀巢),429,30,14.4,44.8
中老年配方奶粉(森永牌),418,22,10,60
中老年配方奶粉(三元爱益中老年配方奶粉),448,20,13,63
中老年配方奶粉(雪花中老年特殊配方奶粉),432,20,13.6,58
中老年营养奶粉(雪花中老年营养奶粉),440,21,14,58
酸奶,70,3.2,1.9,10
酸奶（代表值，全脂）,86,2.8,2.6,12.9
酸奶(高蛋白),62,3.2,2.2,7.3
酸奶(脱脂),57,3.3,0.4,10
酸奶(低脂),64,2.7,1.9,9
酸奶(果料),67,3.1,1.4,10.4
酸奶(桔味，脱脂),48,3.2,0.3,8.2
酸奶(调味),88,3,3.2,11.9
酸奶(果粒),98,3.3,2.9,14.6
酸奶（全脂，多美鲜全脂果粒，草莓果粒/覆盆子果粒、桃果粒/西番莲汁/菠萝果粒）,111,1.6,2.8,19.9
酸奶（全脂，盖瑞牌，全脂风味发酵乳）,93,3.1,2.5,14.6
酸奶（全脂，花园牌）,77,1.6,2.8,11.3
酸奶（全脂，佳丽牌，益家全脂风味发酵乳）,95,2.9,3.1,13.8
酸奶（全脂，天润牌浓缩酸奶，全脂风味发酵乳）,95,3,2.9,14.1
酸奶（全脂，西域春牌新疆老酸奶，凝固型）,96,3.1,2.6,15.1
酸奶（低脂，艾美牌，草莓、芒果、蓝莓、覆盆子、菠萝味低脂风味发酵乳）,96,1.6,2.4,16.9
奶酪[干酪],328,25.7,23.5,3.5
奶豆腐(脱脂),343,53.7,2.5,26.5
奶豆腐(鲜),305,46.2,7.8,12.5
奶疙瘩[奶酪干，干酸奶],426,55.1,15,17.7
乳酪（契达干酪，普通),412,25.5,34.4,0.1
乳酪（契达干酪，脱脂),261,31.5,15,Tr
曲拉,356,39.1,2.9,43.4
乳酪（全脂软酪）,313,8.6,31,Tr
酸酪蛋,443,40.4,20.4,24.4
乳酪（羊乳酪）,250,15.6,20.2,1.5
乳酪（中脂软酪）,180,9.2,14.5,3.1
奶酪(光明牌),348,16.5,28.4,6.5
奶酪(骑士牌),386,23,25.4,16.3
低脂奶酪,241,21.6,11.6,12.6
硬质干酪,411,24.9,34.5,0.1
奶酪（爱氏晨曦牌，儿童奶酪条）,295,23.9,22.1,Tr
奶酪（百嘉儿童干酪条）,272,25,18.4,1.5
奶酪（多美鲜牌，欧洲奶油奶酪）,356,13.1,23.4,23.2
奶酪（天润牌，无限欢酪）,515,3.5,33,51
"酸奶疙瘩（干,农户家）",446,48.8,18.6,20.9
"酸奶疙瘩（干,市售）",451,31.1,27.6,19.6
"酸奶疙瘩（干,市售、加盐）",383,51.6,11.7,17.8
酸奶疙瘩（瑞缘牌，中脂特硬质干酪）,456,14.4,22.3,49.5
酸奶疙瘩(新鲜),275,18.6,16.8,12.4
乳品（奶油）,879,0.7,97,0.9
奶油(焦克),447,3,48.3,0
奶油(食品工业),504,1.1,55.5,0
黄油,888,1.4,98,0
黄油渣,599,11.1,43.8,40
白脱(食品工业)[牛油，黄油],744,—,82.7,0
酥油,860,1.5,94.4,1.1
奶油,785,1.1,86,1.7
酥油,718,0.7,74.9,10.3
酥油茶（原味）,465,3,17.7,73.3
炼乳(甜，罐头),332,8,8.7,55.4
奶皮子,460,12.2,42.9,6.3
奶片,472,13.3,20.2,59.3
全脂甜炼乳(雀巢),380,7.5,10,64.9
全脂甜炼乳(燕山牌),374,8.2,10,62.8
脱脂甜炼乳,275,10.3,0.2,58
蛋白粉(益力健乳铁乳清蛋白粉),425,50,12.5,28
牛初乳奶片(纽瑞滋牛初乳咀嚼奶片),347,27,4.5,49.5
奶渣,381,44.4,4.2,41.3
鸡蛋（代表值),139,13.1,8.6,2.4
鸡蛋(白皮),138,12.7,9,1.5
鸡蛋(土鸡),138,14.4,6.4,5.6
鸡蛋白,60,11.6,0.1,3.1
鸡蛋白(乌骨鸡),44,9.8,0.1,1
鸡蛋黄,328,15.2,28.2,3.4
鸡蛋黄(乌骨鸡),263,15.2,19.9,5.7
鸡蛋(红皮),143,12.2,10.5,0
鸡蛋（藏鸡蛋）,162,12.6,11.3,2.4
鸡蛋(乌鸡蛋，绿皮),170,12.6,10.6,6.1
鸡蛋粉[全蛋粉],545,43.4,36.2,11.3
鸡蛋黄粉,644,31.6,55.1,5.3
松花蛋（鸡蛋),178,14.8,10.6,5.8
鸡蛋(煮),143,12.1,10.5,0.1
毛蛋,176,14.2,13.2,0
荷包蛋(油煎),199,13.5,15,1.4
荷包蛋(煮),155,12.3,11.7,0.2
鸡蛋干（安井）,157,13.1,10.3,3
白皮鸡蛋（带壳）,138,12.7,9,1.5
白皮鸡蛋（去壳）,138,12.7,9,1.5
土鸡蛋（带壳）,138,14.4,6.4,5.6
土鸡蛋（去壳）,138,14.4,6.4,5.6
红皮鸡蛋（带壳）,143,12.2,10.5,0
红皮鸡蛋（去壳）,143,12.2,10.5,0
藏鸡蛋（带壳）,162,12.6,11.3,2.4
藏鸡蛋（去壳）,162,12.6,11.3,2.4
乌鸡蛋（带壳）,170,12.6,10.6,6.1
乌鸡蛋（去壳）,170,12.6,10.6,6.1
松花蛋（带壳）,178,14.8,10.6,5.8
松花蛋（去壳）,178,14.8,10.6,5.8
煮鸡蛋（带壳）,143,12.1,10.5,0.1
煮鸡蛋（去壳）,143,12.1,10.5,0.1
毛蛋（带壳）,176,14.2,13.2,0
毛蛋（去壳）,176,14.2,13.2,0
鸡蛋（带壳）,139,13.1,8.6,2.4
鸡蛋（去壳）,139,13.1,8.6,2.4
鸭蛋,180,12.6,13,3.1
鸭蛋白,47,9.9,—,1.8
鸭蛋黄,378,14.5,33.8,4
海鸭蛋,243,12.7,13.8,16.9
松花蛋（鸭蛋)[皮蛋],171,14.2,10.7,4.5
鸭蛋（咸鸭蛋，生）,190,12.7,12.7,6.3
鸭蛋（咸鸭蛋，煮),177,13.8,13.5,0
鸭蛋（带壳）,180,12.6,13,3.1
鸭蛋（去壳）,180,12.6,13,3.1
海鸭蛋（带壳）,243,12.7,13.8,16.9
海鸭蛋（去壳）,243,12.7,13.8,16.9
皮蛋（带壳）,171,14.2,10.7,4.5
皮蛋（去壳）,171,14.2,10.7,4.5
咸鸭蛋（生，带壳）,190,12.7,12.7,6.3
咸鸭蛋（生，去壳）,190,12.7,12.7,6.3
咸鸭蛋（煮，带壳）,177,13.8,13.5,0
咸鸭蛋（煮，去壳）,177,13.8,13.5,0
鹅蛋,196,11.1,15.6,2.8
鹅蛋白,48,8.9,—,3.2
鹅蛋黄,324,15.5,26.4,6.2
鹅蛋(煮),177,12.7,13.6,1
鹅蛋（带壳）,196,11.1,15.6,2.8
鹅蛋（去壳）,196,11.1,15.6,2.8
鹅蛋（煮，带壳）,177,12.7,13.6,1
鹅蛋（煮，去壳）,177,12.7,13.6,1
鹌鹑蛋,160,12.8,11.1,2.1
鹌鹑蛋(五香罐头),152,11.6,11.7,0
鹌鹑蛋（带壳）,160,12.8,11.1,2.1
鹌鹑蛋（去壳）,160,12.8,11.1,2.1
五香鹌鹑蛋（带壳）,152,11.6,11.7,0
五香鹌鹑蛋（去壳）,152,11.6,11.7,0
白条鱼(裸鱼),103,16.6,3.3,1.6
草鱼,113,16.6,5.2,0
赤眼鳟[金目鱼],109,18.1,4.1,0
鳡鱼[猴鱼],114,17.5,4.3,1.2
胡子鲇[塘虱(鱼)],146,15.4,8,3.1
黄颡鱼[戈牙鱼，黄鳍鱼],124,17.8,2.7,7.1
黄鳝[鳝鱼],89,18,1.4,1.2
黄鳝丝,69,15.4,0.8,0
尖嘴白,137,22.7,3.3,4.1
口头鱼,134,19.6,4.2,4.5
鲤鱼[鲤拐子],109,17.6,4.1,0.5
罗非鱼,98,18.4,1.5,2.8
罗非鱼(莫桑比克)[非洲黑鲫鱼],77,16,1,1
泥鳅,96,17.9,2,1.7
青鱼[青皮鱼，青鳞鱼，青混],118,20.1,4.2,0
乌鳢[黑鱼，乌鱼，生鱼],85,18.5,1.2,0
银鱼[面条鱼],105,17.2,4,0
湟鱼(裸鲤鱼),124,17.1,3.2,6.7
鲇鱼[胡子鲇，鲢胡，旺虾],103,17.3,3.7,0
鲒花,117,15.6,6.1,0
鲢鱼[白鲢、胖子、连子鱼],104,17.8,3.6,0
鲫鱼[喜头鱼、海附鱼],108,17.1,2.7,3.8
鲮鱼[雪鲮],95,18.4,2.1,0.7
鲮鱼(罐头),399,30.7,26.9,8.5
鳊鱼[鲂鱼，武昌鱼],135,18.3,6.3,1.2
鳗鲡[鳗鱼，河鳗],181,18.6,10.8,2.3
鳙鱼[胖头鱼，摆佳鱼，花鲢鱼],100,15.3,2.2,4.7
鳜鱼[桂鱼，花鲫鱼],117,19.9,4.2,0
鳟鱼[红鳟鱼],99,18.6,2.6,0.2
草鱼[白鲩、草包鱼],96,17.7,2.6,0.5
鲢鱼[白鲢、胖子、连子鱼],84,16.3,2.1,0
鲫鱼[喜头鱼、海附鱼],89,18,1.6,0.7
丁桂鱼,157,29.7,4.2,0.2
乌鳢(野生）[黑鱼，乌鱼，生鱼],105,19.9,2.3,1.1
花骨鱼,155,25.8,5.6,0.4
黄颡鱼[戈牙鱼，黄鳍鱼],161,17.3,10.2,Tr
回头鱼,107,14.5,5.3,0.4
鮰鱼,143,14.8,4.5,10.8
斑鳠[剑骨鱼],135,16.8,7.3,Tr
抗浪鱼,174,16.6,11,2.1
蓝鳃太阳鱼,93,17.8,2.3,0.3
钳鱼,212,29.2,10.3,0.7
翘嘴红鲌（鲜）,123,18.1,5.6,0.1
鲥鱼,189,20.8,11.3,0.9
武昌鱼,142,27,3.5,0.7
鲟鱼,100,23.4,0.4,0.6
雅鱼,131,26.5,2.7,0.1
胭脂鱼（养殖）,162,38.8,0.6,0.4
棒棒鱼（雅江冷水鱼）,118,27.1,1.1,Tr
尖嘴鱼（雅江冷水鱼）,107,17.1,2.2,4.6
胡子鱼（雅江冷水鱼）,99,17.4,1.3,4.4
白姑鱼[白米子(鱼)],150,19.1,8.2,0
参鱼[蓝圆参，边鱼],124,18.5,3.4,4.8
带鱼[白带鱼，刀鱼],127,17.7,4.9,3.1
堤鱼,191,17.6,12.8,1.3
丁香鱼(干),196,37.5,3.1,4.6
狗母鱼[大头狗母鱼],100,16.7,2.3,3
海鲫鱼[九九鱼],206,17,13.7,3.6
海鳗[鲫勾],122,18.8,5,0.5
红娘鱼[翼红娘鱼],105,18,2.8,1.9
黄姑鱼[黄婆鸡],137,18.4,7,0
黄鱼(大黄花鱼),97,17.7,2.5,0.8
黄鲂[赤虹，老板鱼],81,18.5,0.5,0.6
金线鱼[红三鱼],101,18.6,2.9,0
绿鳍马面鲀[面包鱼，橡皮鱼],83,18.1,0.6,1.2
梅童鱼[大头仔鱼，丁珠鱼],121,18.9,5,0
沙丁鱼[沙鲻],89,19.8,1.1,0
沙钻鱼[多鳞喜，沙梭，麦穗鱼],84,18.4,0.6,1.2
蛇鲻[沙梭鱼],122,20.8,4.2,0.3
舌鳎[花纹舌头，舌头鱼],83,17.7,1.4,0
油抒[香梭鱼],145,15.9,9,0
颚针鱼[针量鱼],180,20.2,10.4,1.4
鲅鱼[马鲛鱼，燕鲅鱼，巴鱼],121,21.2,3.1,2.1
鲅鱼(咸)[咸马胶],157,23.3,1.6,12.4
鲆[片口鱼，比目鱼],112,20.8,3.2,0
鲈鱼[鲈花],105,18.6,3.4,0
鲐鱼[青鲐鱼，鲐巴鱼，青砖鱼],155,19.9,7.4,2.2
"鲑鱼[大马哈鱼,三文鱼]",139,17.2,7.8,0
"鲑鱼籽酱[大马哈鱼籽酱,三文鱼籽酱]",252,10.9,16.8,14.4
鲚鱼(大)[大凤尾鱼],106,13.2,5.5,0.8
鲚鱼(小)[小凤尾鱼],124,15.5,5.1,4
鲨鱼（真鲨，白斑角鲨）,118,22.2,3.2,0
鲳鱼（银鲳鱼）[平鱼],140,18.5,7.3,0
鲷[黑鲷，铜盆鱼，大目鱼],106,17.9,2.6,2.7
鲻鱼[白眼棱鱼],119,18.9,4.8,0
鲽[比目鱼，凸眼鱼],107,21.1,2.3,0.5
鳐鱼[夫鱼],90,20.8,0.7,0
鳓鱼[快鱼，力鱼],159,20.7,8.5,0
鳕鱼[鳕狭，明太鱼],88,20.4,0.5,0.5
鳘鱼,89,20.2,0.9,0
带鱼(切段),108,17.6,4.2,0
黄鱼(小黄花鱼),114,17,5.1,0
金鳇鱼,99,18.7,2.7,0
鲭鱼,413,14.4,39.4,0.2
双髻鲨,111,27.4,0.1,0
紫青低纹鮨（冰鲜）,150,20.5,7.2,0.8
鮟鱇鱼,60,13.7,0.6,Tr
鲳鱼（刺鲳，鲜）,149,16.8,6.5,5.9
大菱鲆鱼（鲜）[多宝鱼],81,17,1.1,0.7
海鲈鱼（鲜）,112,19.5,3.6,0.4
红鳍笛鲷[红鱼],134,20.1,4.8,2.7
黄姑鱼（鲜）,88,14.7,0.7,5.6
鲅鱼[马鲛鱼],194,18.7,11.3,4.4
石斑鱼(老虎斑）,130,20.2,4.3,2.7
石斑鱼（红石斑鱼）,90,19.9,0.4,1.6
石斑鱼（黑石斑鱼）,95,20.2,1.2,0.9
石斑鱼（花石斑鱼）,95,20.2,0.8,1.7
苏眉鱼,70,16.5,0.4,Tr
青衣（红色）,84,20.1,0.3,0.2
青衣(孔雀绿色）,82,19.2,0.3,0.6
笠鱼,97,22.2,0.5,0.9
金枪鱼肉,102,23.7,0.3,1.1
鲅鱼肉[马鲅鱼肉],102,23.7,0.3,1
刺泡鱼[刺鲍鱼],94,23,0.2,Tr
鱼片干,303,46.1,3.4,22
鱼奇油[鱼露，虾油],47,11.2,0.2,0
鱼排,160,10.1,2.4,24.5
鱼丸,107,11.1,1.3,12.7
鱼子酱,201,9.6,7.1,24.7
草鱼(熏),283,24,16.5,9.6
丁香鱼(香辣味),403,19,28.2,18.3
凤尾鱼(熟),520,23.5,43,9.7
箭鱼(炸),271,20.8,16.1,10.7
金枪鱼(盐水浸),99,23.5,0.6,0
金枪鱼(油浸),189,27.1,9,0
鲮鱼(豆豉，熟),472,25.5,33.1,17.9
鳗鱼(红烧),211,21.3,9.8,9.5
鲭鱼(烤，150℃，20分),390,19.1,34.8,0
鲭鱼(炸),550,17.2,53.4,0.1
鲭鱼(蒸),390,14.6,36.5,0.7
鲭鱼(煮),372,14.9,34.5,0.4
沙丁鱼(茄汁，熟),155,13.8,9.8,3
沙丁鱼(盐水浸),172,21.5,9.6,0
沙丁鱼(油浸),220,23.3,14.1,0
午餐鱼(香辣味),383,24.4,30.2,3.3
鳕鱼(烤),96,21.4,1.2,Tr
鳕鱼(炸),241,12.4,14.3,15.6
鳀鱼US,131,20.4,4.8,0
细须石首鱼US,104,17.8,3.2,0
彩虹香鱼US,97,17.6,2.4,0
石斑鱼US,92,19.4,1,0
鲻鱼US,117,19.4,3.8,0
白条鱼（整条鱼）,103,16.6,3.3,1.6
白条鱼肉,103,16.6,3.3,1.6
草鱼（整条鱼）,113,16.6,5.2,0
草鱼肉,113,16.6,5.2,0
黄鳝肉,89,18,1.4,1.2
鲤鱼（整条鱼）,109,17.6,4.1,0.5
鲤鱼肉,109,17.6,4.1,0.5
罗非鱼（整条鱼）,98,18.4,1.5,2.8
罗非鱼肉,98,18.4,1.5,2.8
青鱼（整条鱼）,118,20.1,4.2,0
青鱼肉,118,20.1,4.2,0
胡子鲇（整条鱼）,103,17.3,3.7,0
胡子鲇肉,103,17.3,3.7,0
鲒花（整条鱼）,117,15.6,6.1,0
鲒花肉,117,15.6,6.1,0
鲮鱼（整条鱼）,95,18.4,2.1,0.7
鲮鱼肉,95,18.4,2.1,0.7
胖头鱼（整条鱼）,100,15.3,2.2,4.7
胖头鱼肉,100,15.3,2.2,4.7
鳜鱼（整条鱼）,117,19.9,4.2,0
鳜鱼肉,117,19.9,4.2,0
红鳟鱼（整条鱼）,99,18.6,2.6,0.2
红鳟鱼肉,99,18.6,2.6,0.2
草鱼/皖鱼（整条鱼）,96,17.7,2.6,0.5
草鱼/皖鱼肉,96,17.7,2.6,0.5
鲢鱼（整条鱼）,84,16.3,2.1,0
鲢鱼肉,84,16.3,2.1,0
鲫鱼（整条鱼）,89,18,1.6,0.7
鲫鱼肉,89,18,1.6,0.7
黑鱼（整条鱼）,105,19.9,2.3,1.1
黑鱼肉,105,19.9,2.3,1.1
黄颡鱼（整条鱼）,161,17.3,10.2,Tr
黄颡鱼肉,161,17.3,10.2,Tr
鲥鱼 （整条鱼）,189,20.8,11.3,0.9
鲥鱼肉,189,20.8,11.3,0.9
武昌鱼（整条鱼）,142,27,3.5,0.7
武昌鱼肉,142,27,3.5,0.7
带鱼（整条鱼）,127,17.7,4.9,3.1
带鱼肉,127,17.7,4.9,3.1
黄姑鱼（整条鱼）,137,18.4,7,0
黄姑鱼肉,137,18.4,7,0
沙丁鱼（整条鱼）,89,19.8,1.1,0
沙丁鱼肉,89,19.8,1.1,0
鲈鱼（整条鱼）,105,18.6,3.4,0
鲈鱼肉,105,18.6,3.4,0
鲑鱼（整条鱼）,139,17.2,7.8,0
鲑鱼肉,139,17.2,7.8,0
鲳鱼（整条鱼）,140,18.5,7.3,0
鲳鱼肉,140,18.5,7.3,0
鳕鱼（整条鱼）,88,20.4,0.5,0.5
鳕鱼肉,88,20.4,0.5,0.5
多宝鱼（整条鱼）,81,17,1.1,0.7
多宝鱼肉,81,17,1.1,0.7
海鲈鱼（整条鱼）,112,19.5,3.6,0.4
海鲈鱼肉,112,19.5,3.6,0.4
石斑鱼（整条鱼）,130,20.2,4.3,2.7
石斑鱼肉,130,20.2,4.3,2.7
白米虾[水虾米],81,17.3,0.4,2
斑节对虾[草虾],103,18.6,0.8,5.4
长毛对虾[大虾，白露虾],90,18.5,0.4,3
蝲蛄[刺蛄，大头虾],77,16,1.4,0
东方对虾[中国对虾],84,18.3,0.5,1.6
对虾,93,18.6,0.8,2.8
海虾,79,16.8,0.6,1.5
河虾,87,16.4,2.4,0
基围虾,101,18.2,1.4,3.9
江虾[沼虾],87,10.3,0.9,9.3
龙虾,90,18.9,1.1,1
明虾,85,13.4,1.8,3.8
塘水虾[草虾],96,21.2,1.2,0
虾虎,81,11.6,1.7,4.8
螯虾,93,14.8,3.8,0
北极虾,132,14.9,1.2,15.4
九节虾（鲜）,90,21.4,0.1,0.8
口虾蛄[皮皮虾],82,14.8,1.7,1.8
罗氏沼虾,91,20.6,0.8,Tr
南美白对虾,83,19.4,0.2,0.8
青虾,100,23.8,0.4,0.2
琼海虾,56,8.9,1.8,0.9
虾米[海米，虾仁],198,43.7,2.6,0
虾脑酱,100,15.2,4.3,0
虾酱,112,10.8,7.6,0
虾仁(红),48,10.4,0.7,0
虾皮,153,30.7,2.2,2.5
虾仁,199,20.8,0.6,27.7
虾仁肉丸,152,4.6,7.4,16.7
混合虾US,71,13.6,1,0.9
白米虾（整只虾）,81,17.3,0.4,2
白米虾肉,81,17.3,0.4,2
斑节对虾（整只虾）,103,18.6,0.8,5.4
斑节对虾肉,103,18.6,0.8,5.4
对虾（整只虾）,93,18.6,0.8,2.8
