食物名称,能量,蛋白质,脂肪,碳水化合物
小水萝卜[算盘子，红皮萝卜],21,1.1,0.2,4.2
红心萝卜[心里美],23,0.8,0.2,4.9
白萝卜（圆）,16,0.7,0.2,3.6
青萝卜,29,1.2,0.2,6.9
樱桃萝卜,12,0.9,0.1,3
胡萝卜(红)[金笋，丁香萝卜],39,1,0.2,8.8
胡萝卜(黄),46,1.4,0.2,10.2
胡萝卜(脱水),333,4.2,1.9,77.9
胡萝卜,32,1,0.2,8.1
芥菜头[大头菜，水芥],36,1.9,0.2,7.4
苤蓝[玉蔓菁，球茎甘蓝，大头菜],32,1.3,0.2,7
甜菜根（鲜）[甜菜头，糖萝卜],87,1,0.1,23.5
根茎[根洋茎，球根塘蒿],38,2.2,0.1,10
紫菜头,42,1.8,0.2,10.6
牛蒡根,58,1.8,0.1,15.4
牛蒡根（煮）,50,1.5,0.2,13.7
迷你胡萝卜,26,0.7,0.2,7.5
冷冻胡萝卜,13,0.5,0.1,3
芥末根US,109,4.8,0.6,23.5
扁豆[月亮菜],41,2.7,0.2,8.2
蚕豆（鲜）,111,8.8,0.4,19.5
刀豆（鲜）,40,3.1,0.3,7
豆角,34,2.5,0.2,6.7
豆角(鲜，白),35,2.2,0.2,7.4
荷兰豆,30,2.5,0.3,4.9
龙豆（鲜）,36,3.7,0.5,5
龙牙豆（鲜）[玉豆],19,2.6,0.2,2.4
毛豆（鲜）[青豆，菜用大豆],131,13.1,5,10.5
四季豆[菜豆],31,2,0.4,5.7
"豌豆(带荚,鲜)[回回豆]",111,7.4,0.3,21.2
豌豆尖（发芽豌豆）,225,3.1,Tr,53.9
油豆角（鲜）[多花菜豆],25,2.4,0.3,3.9
垅船豆（鲜）,36,2,0.4,6.8
芸豆（鲜）,30,0.8,0.1,7.4
豇豆(长),32,2.7,0.2,5.8
扁豆,32,2.3,0.2,7.4
豇豆,32,2.2,0.3,7.3
四季豆[菜豆，芸豆],24,2,0.2,6
四棱豆[杨桃豆，翅豆],19,2,0.2,4.2
甜脆荷兰豆[甜豆],32,3,0.3,8.1
发芽豆,131,12.4,0.7,19.4
黄豆芽,47,4.5,1.6,4.5
黄豆芽,39,4.4,1.6,3.6
绿豆芽,16,1.7,0.1,2.6
黑豆苗,30,4.4,0.8,2.6
豌豆苗,32,4.8,0.8,2.6
青豌豆（冷冻）,80,5.8,0.7,17.1
黑豆芽,17,2.2,0,2.8
蚕豆（带荚）,111,8.8,0.4,19.5
蚕豆（去荚）,111,8.8,0.4,19.5
毛豆（带荚）,131,13.1,5,10.5
毛豆（去荚）,131,13.1,5,10.5
豌豆（带荚）,111,7.4,0.3,21.2
豌豆（鲜）,111,7.4,0.3,21.2
茄子(代表值),23,1.1,0.2,4.9
茄子(绿皮),28,1,0.6,5.2
茄子(圆),32,1.6,0.2,6.7
番茄(整个，罐头),22,2,0.6,2.6
奶柿子[西红柿],14,0.6,0.1,3.2
辣椒(红，尖，干),295,15,12,52.7
辣椒(红，小),38,1.3,0.4,8.9
甜椒(脱水),324,7.6,0.4,76.6
葫子,29,0.7,0.1,6.8
茄子（白皮，长）,21,1.3,0.1,5.5
茄子（紫皮，长）,18,1.1,0.1,4.8
茄子（紫皮，圆）,23,0.8,0.2,5.3
香瓜茄,21,0.6,Tr,5.5
番茄[西红柿],15,0.9,0.2,3.3
樱桃番茄[小西红柿],25,1,0.2,5.8
辣椒（小红尖辣椒）,62,4.1,0.4,17.7
辣椒（小红尖辣椒，干）,298,15.4,12,57.4
辣椒(青，尖),22,0.8,0.3,5.2
甜椒[灯笼椒，柿子椒],18,1,0.2,3.8
彩椒,26,1.3,0.2,6.4
秋葵[黄秋葵，羊角豆],25,1.8,0.2,6.2
白瓜,12,0.9,—,2.6
菜瓜[生瓜，白瓜],19,0.6,0.2,3.9
方瓜,14,0.8,Tr,3.1
佛手瓜[棒瓜，菜肴梨],18,1.2,0.1,3.8
葫芦[长瓜，蒲瓜，瓠瓜],16,0.7,0.1,3.5
葫芦条(干),256,4.3,1.8,64.6
黄瓜（鲜）[胡瓜],16,0.8,0.2,2.9
节瓜[毛瓜],14,0.6,0.1,3.4
金瓜,15,0.5,0.1,3.4
金丝瓜[裸瓣瓜],38,3.3,2,2.2
苦瓜[凉瓜，癞瓜],22,1,0.1,4.9
南瓜[倭瓜，番瓜],23,0.7,0.1,5.3
南瓜粉,343,7.1,2.1,79.6
蛇瓜[蛇豆，大豆角],18,1.5,0.1,3.9
笋瓜[生瓜],13,0.5,—,3.1
西葫芦,19,0.8,0.2,3.8
面西胡瓜,10,0.8,Tr,1.8
小西胡瓜,22,0.7,0.1,4.8
冬瓜,10,0.3,0.2,2.4
飞碟瓜,18,1,0.1,4.4
黄金西葫芦,17,1.8,0.1,3.6
黄茎瓜[小南瓜],19,1.2,0.9,2
迷你黄瓜[荷兰乳黄瓜],14,1,0.2,2.5
秋黄瓜[旱黄瓜],14,0.9,0.2,2.5
南瓜（栗面）,36,1.4,0.1,8.8
丝瓜,20,1.3,0.2,4
青柿子椒,20,0.9,0.2,5.1
红柿子椒,28,1,0.2,7.2
橙柿子椒,19,0.9,0.3,4.2
黄柿子椒,28,0.8,0.2,6.6
番茄椒,33,1,0.2,7.5
桃太郎西红柿,17,0.7,0,4
黄西红柿,23,0.9,0,5.3
黑番茄,23,0.4,0.1,5.6
绿番茄,25,0.9,0.1,5.4
圣女果,34,1.1,0.5,6.9
樱桃小西红柿,34,0.9,0.1,8.1
黄金小蕃茄,31,0.8,0.2,6.8
金女小番茄,30,1.1,0.1,6.6
黄金圣女果,31,1,0.1,7
橙蕃茄,32,1.2,0.2,7
美国绿辣椒US,40,2,0.2,9.5
墨西哥辣椒US,29,0.9,0.4,6.5
美国红辣椒US,40,1.9,0.4,8.8
绿番茄US,23,1.2,0.2,5.1
金瓜（带瓤带皮）,15,0.5,0.1,3.4
金瓜（去瓤去皮）,15,0.5,0.1,3.4
西葫芦（带瓤）,19,0.8,0.2,3.8
西葫芦（去瓤）,19,0.8,0.2,3.8
南瓜（带瓤带皮）,36,1.4,0.1,8.8
南瓜（去瓤去皮）,36,1.4,0.1,8.8
大蒜（白皮，鲜）[蒜头],128,4.5,0.2,27.6
大蒜(脱水),348,13.2,0.3,75.4
大蒜（紫皮，鲜）[蒜头],139,5.2,0.2,29.6
青蒜（青葱）,34,2.4,0.3,6.2
蒜黄（黄色）,24,2.5,0.2,3.8
蒜苗（绿色，青蒜）,40,2.1,0.4,8
蒜薹（圆）,66,2,0.1,15.4
大葱(红皮),49,2.4,0.1,10.2
分葱[四季葱，菜葱],34,2.2,0.7,5.1
葱（小葱，鲜）,27,1.6,0.4,4.9
大葱,28,1.6,0.3,5.8
